식품명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
가자미식해,134,11.09,4.81,11.64
가자미조림,62,7.9,1.37,4.41
가자미조림,99,12.37,2.37,7.17
가자미조림,174,23.9,5.28,7.14
가자미조림,87,12.2,2.52,3.64
가자미조림,174,23.9,5.28,7.0
가자미찜,77,11.7,1.95,2.67
가자미찜,78,11.8,1.95,2.79
가자미튀김,225,20.7,12.36,5.54
가자미튀김,94,5.1,6.54,2.89
가자미튀김,94,5.1,6.54,2.89
가자미튀김,225,20.7,12.36,5.54
가죽나물무침,76,5.83,1.35,10.05
가지김치,36,2.1,0.77,6.22
가지나물,36,1.42,1.5,4.18
가지나물,64,2.6,2.86,8.1
가지나물,24,1.1,0.85,3.73
가지나물,34,1.24,1.54,4.34
가지나물,25,1.06,0.85,3.82
가지냉국,19,1.1,0.39,3.42
가지볶음_가지,35,0.9,2.17,3.36
가지볶음_가지_고추,27,0.91,1.27,3.36
가지볶음_가지_당근,37,0.93,1.94,4.56
가지전,37,1.1,1.99,3.68
가지전,114,3.2,6.13,11.22
가지전,114,3.2,6.13,11.22
가지전,37,1.1,1.99,3.68
가지전,123,5.48,7.28,8.88
가지찜,120,5.6,6.29,10.23
가지찜,120,5.6,6.23,10.22
가지탕수,154,2.2,6.5,21.21
가지탕수,154,2.2,6.5,21.21
가지탕수,171,2.4,7.24,23.56
간자장,155,5.39,2.81,25.98
간자장,125,5.12,4.89,15.13
간자장,127,3.44,3.39,20.65
간자장_해물,151,6.9,3.18,22.69
간재미회무침,47,4.73,0.47,6.47
갈매기살구이_돼지고기,312,26.98,22.6,0.28
갈비구이_돼지고기,294,19.58,21.39,5.78
갈비구이_소고기,309,20.94,21.81,7.13
갈비구이_소고기,241,25.91,14.55,1.59
갈비구이_소고기_양념,330,20.03,23.87,8.73
갈비구이_왕갈비_양념,321,18.07,23.53,9.13
갈비찜_고춧가루,172,20.43,6.57,7.9
갈비찜_소고기,85,7.25,3.17,6.95
갈비찜_소고기,198,19.94,10.78,5.26
갈비탕,54,8.51,2.06,0.4
갈비탕,39,2.19,2.13,2.71
갈비탕,75,4.4,5.02,2.32
갈비탕,49,2.5,3.13,2.26
갈비탕,33,1.8,2.46,0.56
갈비탕_소금제외,89,5.5,5.44,4.21
갈치구이,147,12.65,9.81,0.88
갈치구이,117,9.59,6.95,3.05
갈치구이,127,9.83,7.36,4.3
갈치구이,123,9.35,7.32,3.96
갈치구이_기름,118,9.6,6.95,3.05
갈치구이_기름,148,12.7,9.81,0.88
갈치구이_기름,128,9.8,7.36,4.3
갈치구이_기름,209,22.12,13.04,0.83
갈치구이_기름,124,9.3,7.32,3.96
갈치구이_기름,138,21.54,5.48,0.6
갈치젓_양념,149,15.53,5.08,10.28
갈치조림_무,76,7.1,3.09,4.67
갈치조림_무,118,10.8,4.81,7.39
갈치조림_무,65,6.31,2.4,4.44
갈치찌개,39,3.9,1.56,2.39
갈치찌개,45,4.12,1.57,2.96
갈치찌개,38,5.27,1.0,1.95
갈치찌개,39,3.9,1.56,2.4
갈치튀김,78,4.6,5.47,1.85
갈치튀김,78,4.6,5.47,1.85
감바스_간편조리세트_감바스 알 아히요,224,11.48,11.38,19.0
감바스_간편조리세트_감바스 알 아히요,384,8.41,32.85,13.79
감바스_간편조리세트_감바스 알 아히요,303,6.54,22.52,18.56
감자 된장국,22,1.4,0.32,3.31
감자 된장국,22,1.4,0.32,3.31
감자 된장국_두부,32,2.4,0.77,4.0
감자 된장국_두부,32,2.4,0.77,4.0
감자 소고기찌개,48,3.2,2.27,3.81
감자 소고기찌개,52,3.4,2.45,4.05
감자 소고기찌개,52,3.4,2.45,4.05
감자 호박된장국,25,2.1,0.43,3.51
감자_찐감자,70,2.16,0.16,15.01
감자구이,76,1.23,3.48,10.05
감자구이,81,1.5,2.91,12.44
감자구이,123,2.4,4.65,18.18
감자구이,123,2.4,4.65,18.18
감자국,32,1.19,0.79,4.94
감자국,21,0.9,0.26,3.67
감자국,22,1.5,0.1,4.09
감자국,21,0.9,0.1,4.51
감자국,22,1.5,0.1,4.09
감자국,21,0.85,0.1,4.59
감자국_소고기,37,2.0,1.42,4.04
감자국_소고기,39,2.1,1.58,4.02
감자그라탕,134,3.2,7.78,12.84
감자그라탕,138,4.1,7.81,13.03
감자그라탕,140,3.9,6.26,17.37
감자그라탕_바질감자그라탕,160,7.97,,
감자그라탕_치즈만난감자 그라탕,341,10.91,,
감자밥,130,2.4,0.14,28.45
감자범벅,93,2.3,0.05,21.31
감자범벅,95,2.3,0.05,21.91
감자범벅,95,2.3,0.05,21.91
감자볶음,52,1.2,1.31,8.95
감자볶음,52,1.2,1.31,8.96
감자볶음,100,1.75,4.84,12.41
감자볶음,52,1.2,1.31,8.96
감자볶음,52,1.2,1.31,8.96
감자볶음_감자,52,1.23,1.31,8.95
감자볶음_감자_당근,47,1.08,1.36,7.79
감자볶음_감자_당근,52,1.06,1.98,7.66
감자볶음_감자_베이컨,50,1.72,2.45,5.37
감자볶음_감자_베이컨,53,1.86,2.49,5.91
감자볶음_감자_햄,47,2.57,1.75,5.29
감자볶음_감자만,134,1.9,6.86,16.18
감자볶음_당근,109,1.7,6.19,11.81
감자볶음_양파,122,2.5,4.96,17.12
감자볶음_양파,114,1.7,6.39,12.58
감자볶음_양파,122,2.5,4.96,17.12
감자볶음_양파,114,1.7,6.39,12.58
감자볶음_잔멸치,153,6.7,6.57,16.69
감자볶음_잔멸치,153,6.7,6.57,16.65
감자볶음_채소,81,1.5,3.82,10.46
감자볶음_채소,108,2.04,5.22,13.1
감자볶음_채소,67,1.3,2.92,9.09
감자볶음_채소,88,2.3,1.36,17.09
감자볶음_풋고추,102,2.8,3.09,16.68
감자볶음_풋고추,101,2.9,3.08,16.35
감자볶음_햄,159,5.0,9.72,13.05
감자볶음_햄,160,5.1,9.68,13.33
감자볶음_햄,159,5.0,9.72,13.05
감자볶음_햄_채소,47,2.6,1.75,5.29
감자볶음_햄_채소,47,2.6,1.75,5.29
감자볶음_햄_채소,47,2.6,1.75,5.29
감자빵_감자쫀득볼,313,3.95,,
감자빵_강원도알감자빵,250,3.13,,
감자빵_강원도알감자빵 (5개입),244,3.13,,
감자빵_못난이 감자크럼볼,211,1.33,,45.33
감자빵_못난이감자크럼볼,247,1.33,,
감자빵_진짜감자빵,242,2.5,8.58,38.08
감자빵_쫀득 감자빵,246,5.0,,
