식품명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
샌드위치_햄&치즈라우겐샌드위치,270,10.43,,
샌드위치_햄&포테이토샐러드샌드위치,206,6.36,,
샌드위치_햄_달걀,220,12.44,11.92,15.64
샌드위치_햄_치즈,284,8.57,15.75,26.95
샌드위치_햄_치즈_채소,214,8.66,10.38,21.55
샌드위치_햄앤치즈 샌드위치,269,7.5,,
샌드위치_햄앤치즈샌드,281,8.0,,
샌드위치_햄에그 치아바타,266,12.9,,
샌드위치_햄에그 파니니,304,12.9,,
샌드위치_햄치즈 리터샌드,323,6.67,,30.67
샌드위치_햄치즈 멀티그레인 파니니,232,7.9,,
샌드위치_햄치즈 샌드위치,378,12.08,,
샌드위치_햄치즈 샌드위치,255,11.52,,
샌드위치_햄치즈 샌드위치,185,5.51,5.91,27.56
샌드위치_햄치즈 잉글리쉬머핀,259,11.67,,
샌드위치_햄치즈 잉글리쉬머핀 샌드위치,259,11.67,,
샌드위치_햄치즈에그샌드위치,196,5.6,,
샌드위치_햄치즈잉글리시 머핀,314,12.12,,43.08
샌드위치_햄치즈잉글리시머핀 샌드위치,259,11.67,12.5,25.0
샌드위치_햄치즈토마토치아바타,165,7.0,,
샌드위치_햄치토 크로와상 샌드위치,137,3.48,8.26,12.61
샌드위치_훈제베이컨에그 반미 샌드위치,218,11.07,,22.14
샐러드_간편조리세트_콥샐러드&시저드레싱,129,8.75,8.4,4.55
샐러드_감자,126,1.31,7.99,12.25
샐러드_감자,163,2.76,10.17,15.64
샐러드_고구마,185,1.81,7.79,26.84
샐러드_과일리코타 샐러드,111,3.2,5.8,11.4
샐러드_과카몰리치킨 샐러드,94,4.15,,
샐러드_그릴드 치킨 샐러드,99,6.4,,
샐러드_그릴드치킨 샐러드,60,7.25,,
샐러드_그릴드치킨 시저 샐러드,104,7.49,,
샐러드_그릴치킨오렌지샐러드,71,5.29,,
샐러드_단호박,128,1.23,9.49,10.28
샐러드_단호박,162,1.48,8.97,18.77
샐러드_단호박+고구마샐러드 (160g),202,0.94,,
샐러드_단호박+고구마샐러드 (310g),202,1.0,,
샐러드_단호박리코타과일샐러드,176,2.65,,
샐러드_닭가슴살,135,7.17,9.49,5.36
샐러드_두부포케 샐러드,102,3.52,,
샐러드_루꼴라샐러드,181,2.47,,
샐러드_리코타그릴치킨샐러드,164,5.53,,
샐러드_리코타그릴치킨샐러드(R),99,4.28,,
샐러드_리코타그릴치킨샐러드(S),93,4.07,,
샐러드_마카로니,140,2.37,8.17,13.76
샐러드_맥앤치즈 핫도그 샐러드 박스,194,5.98,,
샐러드_머쉬룸불고기샐러드,85,4.59,,
샐러드_멕시칸치킨 샐러드,134,8.92,,
샐러드_모짜렐라루꼴라샐러드,210,6.93,,
샐러드_베이컨크랜베리치킨샐러드,204,6.8,,
샐러드_불고기분짜누들샐러드,126,4.29,,
샐러드_새싹,74,2.77,4.81,4.96
샐러드_샐러드,15,1.0,,
샐러드_쉬림프에그 샐러드,83,6.92,,
샐러드_쉬림프에그샐러드(S),126,6.01,,
샐러드_스파이시쉬림프 샐러드,109,7.35,,
샐러드_시저치킨 샐러드,126,15.0,6.4,2.2
샐러드_썸머타코치킨샐러드,91,4.0,,
샐러드_양배추,150,2.69,11.71,8.47
샐러드_양배추_코올슬로,153,0.95,9.91,14.89
샐러드_양상추,126,4.91,10.3,3.42
샐러드_오렌지 그릴치킨 샐러드,71,5.29,,
샐러드_옥수수,166,1.96,11.94,12.68
샐러드_옥수수,131,1.32,8.5,12.51
샐러드_참치,151,10.82,8.65,7.52
샐러드_채소,145,1.16,13.35,5.1
샐러드_치킨콥 샐러드,124,5.8,8.4,6.4
샐러드_치킨텐더 샐러드,133,7.76,,
샐러드_치킨텐더루꼴라샐러드,193,8.1,,
샐러드_코울슬로,112,0.9,,
샐러드_콘샐러드,150,2.5,,
샐러드_콥볼샐러드(R),101,6.54,,
샐러드_콥볼샐러드(S),106,6.06,,
샐러드_콥샐러드,108,6.94,,
샐러드_토마토치킨샐러드,152,5.22,,
샐러드_토마토칠리 핫도그 샐러드 박스,194,6.41,,
샐러드_트리플 치즈 샐러드,164,5.91,8.71,15.27
샐러드_포테이토&튜나 샐러드,174,4.41,,
샐러드_포테이토&튜나샐러드,152,4.41,,
샐러드_프레시리코타치즈 샐러드,167,5.42,,
생강차_대추 생강차 아이스(ICED),65,0.0,,
생강차_대추 생강차 핫(HOT),65,0.0,,
생강차_레몬 생강차 아이스(ICED),59,0.0,,
생강차_레몬 생강차 핫(HOT),59,0.0,,
생강차_생강차,41,0.14,,
생강차_생강차 아이스(ICED),57,0.0,,
생강차_생강차 아이스(ICED),54,0.03,,
생강차_생강차 핫(HOT),54,0.03,,
생강차_생강차 핫(HOT),61,0.0,,
생강차_유자 생강차,43,0.0,,
생강차_전통 수정과 아이스(ICED),41,0.14,,
생강차_전통 수정과 핫(HOT),41,0.15,,
생강차_진저티 아이스(ICED),48,0.0,,
생강차_진저티 핫(HOT),48,0.0,,
생강차_홍시 동동 수정과 아이스(ICED) (EX),49,0.15,,
생강차_홍시 동동 수정과 아이스(ICED) (R),54,0.24,,
생강차_홍시 동동 수정과 핫(HOT) (EX),51,0.15,,
생강차_홍시 동동 수정과 핫(HOT) (R),59,0.26,,
생선까스,198,15.3,9.57,10.89
생선까스,303,22.8,14.5,17.5
생선까스,198,15.3,9.57,10.89
생선까스,105,9.0,4.93,5.12
생선까스,327,12.17,20.55,23.28
생선까스_소스,232,7.58,18.96,7.25
생선전_가자미,154,17.17,7.38,4.61
생선전_동태,179,15.09,10.03,7.02
샤베트_메론코코샤베트,45,0.11,,11.09
샤베트_블루파인 샤베트,40,0.23,0.17,9.36
샤베트_와인 샤베트,74,0.21,0.43,17.66
샤브샤브_간편조리세트_소고기 샤브샤브,34,2.71,1.26,2.99
샤브샤브_간편조리세트_소고기스키야키,76,6.23,1.78,8.65
샤브샤브_간편조리세트_일호식 스키야키,51,3.36,2.6,3.64
샤브샤브_버섯,30,3.88,0.9,1.57
샤브샤브_소고기,44,4.85,1.63,2.45
샤브샤브_소고기,43,5.38,1.62,1.8
서대구이,161,25.1,5.77,0.71
섞박지,41,2.3,0.84,7.43
섞박지,35,1.9,1.24,5.04
섞어찌개(모듬찌개),47,3.7,1.32,5.58
섞어찌개(모듬찌개),39,1.7,2.09,3.73
선지해장국_내장,34,4.4,0.98,2.07
선짓국,27,3.6,0.49,2.15
선짓국,45,3.9,1.9,3.53
선짓국,40,3.4,1.53,3.5
선짓국_내장,45,5.4,1.63,1.97
설렁탕,37,2.1,1.24,4.08
설렁탕,41,2.65,1.24,4.43
설렁탕,24,4.26,0.58,0.36
세발나물무침,78,3.01,4.25,7.05
세발낙지볶음,88,11.6,0.9,8.35
세발낙지볶음,68,4.7,2.29,7.88
세발낙지볶음,68,4.7,2.29,7.88
세발낙지찜,74,5.5,4.31,3.8
소간 채소볶음,120,10.5,5.29,7.74
소갈비 구이,210,10.2,15.23,6.33
소갈비 구이,210,10.2,15.23,6.33
소갈비 구이,298,14.4,21.6,9.01
소갈비 구이,210,10.2,15.23,6.33
소갈비찜,238,12.8,16.8,7.91
소갈비찜,160,8.0,11.32,5.3
소갈비찜,235,12.2,16.86,6.72
소갈비찜,111,5.38,7.08,6.45
소갈비찜_해물,137,11.41,6.11,8.65
소고기 감자죽,88,3.1,2.0,13.65
소고기 감자죽,82,2.6,2.71,11.19
소고기 국밥,66,2.3,0.56,12.54
소고기 국밥_내장,104,3.7,1.28,18.63
소고기 국밥_내장,62,2.2,0.75,11.02
소고기 덮밥,120,3.3,3.07,18.92
소고기 덮밥,120,3.3,3.07,18.92
소고기 덮밥,109,5.7,2.78,14.39
소고기 두부국,34,2.8,2.18,0.62
소고기 떡찜,303,10.6,14.48,32.19
소고기 무국,23,1.6,1.49,0.53
소고기 무국,23,1.6,1.49,0.53
소고기 무국_콩나물,27,1.9,1.64,1.06
소고기 미역국,21,1.6,1.37,0.92
소고기 미역국,17,1.5,1.05,0.59
소고기 미역국,23,1.9,1.55,0.56
소고기 미역국_떡,24,1.7,1.39,1.15
소고기 미역국_바지락,11,1.1,0.57,0.9
소고기 샌드위치,195,7.1,9.6,20.03
소고기 샌드위치,203,6.9,10.61,19.7
소고기 샌드위치,203,6.9,10.61,19.7
소고기 샤브샤브,47,3.0,2.08,4.1
소고기 완자전,318,14.1,23.28,10.08
소고기 완자전,314,14.1,22.92,10.06
소고기 완자전,318,14.1,23.28,10.08
소고기 완자전,314,14.1,22.92,10.06
소고기 장조림,237,31.5,9.66,3.97
소고기 장조림,209,15.2,12.44,7.28
소고기 장조림,188,14.9,10.52,6.9
소고기 장조림,230,29.6,9.02,5.13
소고기 장조림_꽈리고추,132,14.7,4.25,8.22
소고기 장조림_메추리알,152,14.4,7.12,6.22
소고기 장조림_메추리알,152,14.4,7.12,6.22
소고기 장조림_메추리알,152,14.4,7.12,6.22
소고기 장조림_메추리알,152,14.4,7.12,6.22
소고기국_무_당면,34,1.8,1.67,2.92
소고기국_무_당면,34,1.8,1.67,2.92
소고기버섯죽,100,2.8,3.0,14.9
소고기버섯죽,72,2.34,0.93,13.63
소고기버섯죽,119,4.3,2.72,20.93
소고기버섯죽,99,2.7,2.89,15.03
소고기볶음,237,10.6,19.41,2.71
소고기볶음,159,7.0,13.07,3.16
소고기볶음,163,7.0,13.07,3.12
소고기볶음_간편조리세트_차돌박이숙주볶음,193,7.3,15.35,6.38
소고기볶음_고추장,157,5.7,11.51,7.04
소고기볶음_고추장,154,5.7,11.51,7.09
소고기볶음_고추장,143,5.9,9.75,7.23
소고기볶음_고추장,197,14.36,10.79,10.7
소고기볶음_버섯,72,6.2,3.53,3.97
소고기볶음_버섯,97,6.1,6.35,4.29
소고기볶음_버섯,97,6.1,6.35,4.29
소고기볶음_버섯,144,11.59,7.73,6.92
소고기볶음_채소,126,12.8,5.4,6.44
소고기볶음_채소,73,6.2,3.53,3.97
소고기산적,227,24.2,12.78,3.67
소고기샤브샤브,46,2.95,2.04,4.08
소고기스튜,187,10.1,11.65,9.23
소고기육개장,26,2.07,1.46,1.38
소고기육개장,25,1.91,1.41,1.49
소고기육개장,32,2.59,1.68,2.09
소고기전골,46,2.6,2.15,4.25
소고기전골,38,2.4,2.34,1.98
소고기전골,63,7.89,3.24,0.46
소고기전골_간편조리세트_어복쟁반,37,3.39,1.96,1.41
소고기전골_간편조리세트_파빌리온 얼큰 소고기 전골,73,4.4,4.94,2.69
소고기전골_간편조리세트_평양식 어복쟁반,76,7.02,2.94,5.35
소고기찜,121,5.5,8.56,5.17
소고기찜,117,5.5,8.55,4.95
소고기채소볶음,198,8.4,14.99,7.24
소고기채소볶음,198,8.4,14.99,7.24
소고기채소볶음,128,5.1,10.08,3.35
소고기채소볶음,128,5.1,10.08,3.35
소고기튀김,258,10.4,18.92,10.11
소곱창 구이,171,8.8,11.89,3.71
소곱창 볶음,178,9.0,13.58,4.99
소금빵_갈릭버터소금빵,402,6.06,,
소금빵_고메 소금빵,374,9.43,,
소금빵_고짠고짠소금버터링,325,8.33,11.67,46.67
소금빵_매콤할라 소금빵,346,8.98,,
소금빵_바질토마토 치킨 소금빵,292,14.94,,
소금빵_발효버터 먹물소금빵,373,7.27,,
소금빵_발효버터 명란소금빵,392,7.69,21.54,41.54
소금빵_발효버터 소금빵,373,7.27,,
소금빵_버터리 소금빵,376,8.0,17.33,48.0
소금빵_버터버터 소금빵,448,6.67,25.33,48.0
소금빵_뺑오플레르 (L),338,8.0,,
소금빵_소금빵,318,9.23,,
소금빵_앙버터 소금빵,376,7.63,17.88,47.63
소금빵_앙버터 소금빵,365,6.19,,
소금빵_앙버터 소금빵 (L),381,7.66,18.34,47.66
소금빵_에멘탈 햄치즈 소금빵,362,11.59,,
소금빵_오리지널 소금빵,371,7.9,,
소금빵_치즈할라피뇨소금빵,372,8.98,,
소금빵_크랜베리치킨 소금빵,323,10.12,,
소금빵_핫치킨 소금빵,243,10.12,,
소금빵_허니버터 소금빵,416,6.56,,
소내장구이,92,6.75,6.53,0.75
소등심 스테이크,223,10.6,18.22,3.3
소등심 스테이크,229,10.6,18.22,3.3
소등심 스테이크,223,10.6,18.22,3.3
소등심 스테이크,270,12.6,22.71,0.86
소등심구이,318,15.9,26.71,0.0
소등심구이,311,15.9,26.79,0.26
소등심구이,320,15.9,26.79,0.26
소등심구이,320,15.9,26.79,0.26
소라무침,122,18.7,1.58,7.46
소라무침,122,18.7,1.58,7.46
소라산적,150,22.4,3.14,8.06
소보로빵,392,8.27,15.13,55.63
소보로빵,396,9.02,13.25,60.22
소보로빵_NEW단팥소보로,386,10.0,,
소보로빵_PB달콤한크림정통소보루,364,7.27,17.27,46.36
소보로빵_PB정통소보루,388,8.75,15.0,55.0
소보로빵_단팥소보루,283,7.63,,
소보로빵_달콤고소한밤롤브레드,290,7.0,,
소보로빵_땅콩크림 소보로,456,7.84,,
소보로빵_땅콩크림소보로,456,8.82,,
소보로빵_맘모스 딸기,361,8.0,,
소보로빵_맘모스브레드,365,7.0,,
소보로빵_맘모스브레드 (H),368,7.06,,
소보로빵_맘모스브레드(half),368,7.06,,
소보로빵_맘모스빵,348,7.2,,
소보로빵_맘모스빵,354,6.77,13.65,51.07
소보로빵_밤롤브레드,300,7.0,,
소보로빵_밤소보루맘모스,288,7.14,8.93,48.21
소보로빵_밤소보루맘모스 (H),289,6.43,8.57,47.86
소보로빵_밤이듬뿍맘모스(대),342,5.08,,
소보로빵_밤이듬뿍맘모스(소),341,5.39,,
소보로빵_생크림 소보로,414,7.53,,
소보로빵_생크림 소보루,388,8.24,,
소보로빵_생크림소보로,414,8.6,,
소보로빵_생크림소보루,370,6.96,,
소보로빵_소보로빵,421,9.21,,
소보로빵_소보로빵,356,9.3,11.3,54.2
소보로빵_소보루 완두앙금빵,248,5.71,,
소보로빵_소보루빵,383,9.72,,
소보로빵_소보루빵,388,8.24,,
소보로빵_소보루생크림빵,355,6.36,19.09,40.0
소보로빵_스위트밀크브레드,305,8.0,,
소보로빵_쑥이듬뿍 맘모스,331,8.06,,
소보로빵_왕단팥소보루,296,7.69,,
소보로빵_진짜고구마 소보로,348,6.09,,
소보로빵_진짜고구마소보로,345,5.04,,
소보로빵_쫄깃한 찰떡맘모스,339,6.88,,
소보로빵_쫄깃한 찰떡맘모스 (1/4),338,6.25,,
소보로빵_쫄깃한 찰떡맘모스 (1/8),338,7.5,,
소보로빵_쫄깃한 찰떡맘모스 (H),338,6.88,,
소보로빵_찹쌀숨은 소보루,290,8.0,,
소보로빵_치치모스(대),348,7.5,,
소보로빵_치치모스(소),346,7.5,,
소보로빵_클래식딸기잼 맘모스,401,6.49,,
소보로빵_클래식딸기잼맘모스,403,6.49,,
소보로빵_튀김 소보로,394,7.06,,
소불고기,186,10.33,13.1,6.73
소불고기,289,13.4,22.87,4.8
소불고기,170,16.41,9.66,4.26
소불고기,144,7.8,9.61,6.12
소불고기,289,13.4,22.87,4.8
소불고기_버섯,86,8.68,3.76,4.38
소불고기_버섯,88,7.48,4.34,4.72
소불고기_버섯,97,6.07,5.35,6.58
소사태찜,137,12.6,4.65,10.44
소사태찜,96,9.3,3.31,6.42
소사태찜,137,12.6,4.65,10.44
소세지빵_NEW고소한후랑크소시지,327,12.25,,
소세지빵_NEW어니언소시지포카치아,336,11.82,,
소세지빵_NEW추억의소시지빵,342,10.0,,
소세지빵_감자샐러드 소세지빵,319,10.37,,
소세지빵_길어서 더 든든한 롱롱소시지빵,292,10.12,,
소세지빵_낙엽소시지브레드,287,8.09,,
소세지빵_돌돌말린모짜렐라치즈소시지,292,12.8,,
소세지빵_든든한통소시지빵,276,8.82,,
소세지빵_롱소시지 빼로야,341,14.81,,
소세지빵_매콤할라 소시지빵,353,10.72,,
소세지빵_뽀드득그릴소시지,248,7.83,,
소세지빵_소세지빵,260,9.87,,
소세지빵_소시지빵,204,6.25,7.5,28.75
소세지빵_소시지빵(낙엽빵),298,11.7,,
소세지빵_소시지소프트프랑스,315,9.88,19.14,25.31
소세지빵_소시지조리빵,285,10.0,,
소세지빵_스모크 소시지빵,346,12.4,,
소세지빵_스모크소시지빵 할라피뇨,335,12.0,,
소세지빵_오징어깨임,286,10.92,,
소세지빵_추억의소시지빵,262,5.38,,
소세지빵_탱글탱글 뽀드득 소시지,250,10.45,12.69,24.63
소세지빵_탱글탱글뽀드득소시지,265,10.45,,
소세지빵_허니마요 소세지,321,11.0,18.9,26.6
소세지빵_후라잉소시지포테이토,308,9.17,,
소스/드레싱_간편조리세트_오야꼬동 (밥제외),116,8.93,5.54,7.66
소스/드레싱_이디야초콜릿디핑소스,280,2.5,,
소시지 케첩볶음,234,11.6,14.74,13.02
소시지 케첩볶음,127,5.4,9.1,5.84
소시지 케첩볶음,252,11.5,17.08,12.93
소시지 케첩볶음,252,11.5,17.08,12.93
소시지_그릴소시지,220,15.0,,
소시지볶음,236,9.4,14.95,15.9
소시지볶음,280,11.94,19.38,14.41
소시지볶음,118,5.7,7.61,6.78
소시지볶음,136,6.5,8.32,9.04
소시지볶음,133,7.0,8.95,6.17
소시지볶음,132,6.8,8.25,7.75
소시지볶음_채소,134,6.8,8.34,7.71
소시지볶음_채소,134,7.01,8.95,6.15
소시지볶음_채소,138,6.54,8.32,9.03
소시지볶음_채소,119,5.74,7.61,6.78
소시지조림,234,11.9,15.02,12.89
소시지조림,196,11.4,11.1,12.66
소시지조림_어묵,223,10.8,12.86,16.02
소시지튀김,311,13.6,18.41,20.49
소시지튀김,280,12.3,16.61,18.39
소시지튀김,280,12.3,16.61,18.39
소시지튀김,309,13.8,18.67,19.73
소안심스테이크,197,16.6,12.51,2.64
소탕,58,5.1,3.57,1.27
송어 매운탕,54,6.6,1.35,4.03
송편_검정콩,200,6.9,0.8,41.2
송편_깨,224,4.92,2.74,44.96
송편_깨,219,4.65,3.23,42.83
송편_콩,194,5.24,0.75,41.66
송편_팥,200,5.4,0.4,43.6
수란_중탕,145,12.3,11.7,0.2
수박화채,42,1.2,0.87,7.79
수박화채,42,1.2,0.87,7.79
수박화채,42,1.2,0.87,7.79
수박화채,42,1.2,0.87,7.79
수수경단,218,8.2,1.4,43.1
수수밥,122,2.4,0.4,26.0
수수밥,161,3.16,0.92,35.02
수수밥,120,2.21,0.17,26.3
수수밥,118,2.17,0.16,25.82
수수밥,121,2.25,0.17,26.41
수수부꾸미,248,5.73,6.29,42.1
수수팥떡,204,6.7,0.59,43.03
수육_소고기,145,22.3,4.93,1.34
수육_소고기,166,28.43,4.94,2.04
수육_소고기_꼬리,84,6.0,6.27,0.0
수제비,58,2.31,0.52,11.08
수제비_간편조리세트_들깨버섯 수제비,83,2.88,1.34,14.83
수제비_간편조리세트_우삼겹 짬뽕 수제비,110,3.62,4.58,13.51
수제비_간편조리세트_해물 백짬뽕 수제비,79,3.63,2.4,10.76
수제비_감자,88,2.9,0.27,17.65
수제비_감자,88,2.9,0.27,17.65
수제비_김치,67,2.6,0.29,12.81
수제비_김치,67,2.6,0.29,12.81
숙주나물,23,1.7,1.11,2.45
숙주나물,35,2.22,1.58,2.96
숙주나물,10,0.9,0.53,0.82
숙주나물,26,1.7,1.45,2.46
숙주나물,10,0.9,0.53,0.82
숙주나물_미나리,18,1.0,0.99,1.66
숙주나물_미나리,18,1.1,0.85,1.97
숙주나물_미나리,17,1.1,0.9,1.78
숙주나물_미나리,18,1.1,0.84,1.97
숙주나물_숙주,21,1.23,1.3,1.77
숙주나물_숙주,15,1.05,0.74,1.53
숙주나물_숙주,17,1.13,0.96,1.58
숙주나물_숙주_게맛살,28,1.84,0.9,3.71
숙주나물_숙주_채소,19,1.12,0.97,1.89
숙주나물_숙주_채소,15,0.97,0.68,1.66
숙주미나리나물,18,1.04,0.99,1.69
숙주미나리나물,18,1.11,0.85,1.97
숙주미나리나물,17,1.07,0.9,1.79
순 현미밥,129,2.6,0.72,27.59
순대,187,2.75,3.64,35.73
순대,165,5.5,6.55,20.61
순대,181,6.52,8.55,19.45
순대,165,5.5,6.55,20.61
순대,252,9.6,8.91,32.11
순대국,85,2.35,1.75,14.95
순대국,68,5.44,4.13,2.16
순대국,25,2.0,1.28,1.56
순대국,55,2.9,1.82,6.98
순대국,51,2.7,2.83,3.72
순대국,25,2.0,1.28,1.56
순대볶음,150,2.9,3.19,27.39
순대볶음,89,2.89,4.17,10.69
순대볶음,146,5.18,5.33,19.18
순대볶음,100,3.31,4.43,12.34
순대볶음,101,3.16,4.53,12.3
순대볶음_간편조리세트_매콤 깻잎 순대볶음,166,2.89,7.12,22.51
순대볶음_간편조리세트_신림동 백순대볶음,210,4.56,11.98,21.08
순대볶음_간편조리세트_신림동 백순대볶음,150,2.9,4.99,23.43
순대볶음_곱창,115,5.45,4.74,13.19
순대볶음_떡,92,2.74,3.42,13.27
순대볶음_백순대,196,3.62,10.23,22.45
순대볶음_채소,89,1.8,2.71,14.81
순대볶음_채소,100,1.9,2.77,17.25
순대볶음_채소,89,1.8,2.71,14.81
순대볶음_채소,99,2.0,2.67,17.27
순대전골,76,5.61,3.18,6.28
순두부찌개_간편조리세트_강릉식 짬뽕 순두부,42,3.78,1.74,2.78
순두부찌개_간편조리세트_우삼겹 순두부찌개,43,3.54,2.09,2.44
순두부찌개_간편조리세트_우삼겹 순두부찌개,47,3.75,2.16,3.08
순두부찌개_간편조리세트_짬뽕순두부찌개,51,3.82,2.52,3.2
순두부찌개_간편조리세트_해물짬뽕순두부,53,3.31,2.81,3.53
순두부찌개_김치,35,2.98,1.59,2.17
순두부찌개_모듬,25,3.0,0.84,1.36
순두부찌개_배추김치_돼지고기,29,3.55,1.02,1.55
순두부찌개_해물,29,4.09,0.85,1.41
숭어 매운탕,51,6.8,0.87,4.11
스무디_20.6칼로리 슬림 플레인 요거트 스무디,21,1.96,,
스무디_가니 리틀 캐리비안 웨이,56,0.28,,
스무디_고구마 스무디,68,1.13,,
스무디_고구마 프로스트 (L),104,1.51,,
스무디_고구마 프로스트 (R),94,1.37,,
스무디_곡물 스무디,128,1.89,,
스무디_곡성 멜론 스무디,80,0.85,0.64,17.23
스무디_골드망고 스무디,35,0.14,0.05,8.61
스무디_골드키위 썬샤인 스무디 (L),74,0.17,,
스무디_골드키위 썬샤인 스무디 (R),74,0.21,,
스무디_골드키위 썬샤인 스무디 (S),74,0.28,,
스무디_골든펄 돌체 밀크티 스무디,89,0.42,,
스무디_구구쉑,74,1.53,,
스무디_구구쉑 플러스,90,1.67,,
스무디_구슬 민트초코 스무디,92,1.39,,
스무디_구슬 바닐라카페 스무디,73,1.11,,
스무디_구슬 소다 스무디,80,1.11,,
스무디_구슬 솜사탕 스무디,63,0.86,,
스무디_구슬 초코 바닐라 스무디,99,1.67,,
스무디_구슬 피스타치오 스무디,62,1.11,,
스무디_그래놀라요거트프로스트 블루베리 (L),137,2.43,,
스무디_그래놀라요거트프로스트 블루베리 (R),128,2.28,,
스무디_그릭요거트 스트로베리 블루베리 (R),69,1.48,,
스무디_그릭요거트 스트로베리 블루베리 스무디 (L),70,1.52,,
스무디_그릭요거트 스트로베리 블루베리 스무디 (R),69,1.48,,
스무디_그릭요거트 스트로베리 블루베리 스무디 (S),69,1.7,,
스무디_그릭요거트 파인애플 망고 스무디 (L),67,0.34,,
스무디_그릭요거트 파인애플 망고 스무디 (R),67,0.21,,
스무디_그릭요거트 파인애플 망고 스무디 (S),67,0.28,,
스무디_그릭요거트&딸기 밀크티 크러쉬,102,1.27,,
스무디_그릭요거트&망고 밀크티 크러쉬,94,1.9,,
스무디_그릭요거트&밀크티 크러쉬,73,1.69,,
스무디_그린민트 초코 탐앤치노,119,1.22,3.9,19.76
스무디_그린애플 요거트 스무디,84,1.15,,
스무디_그린애플 익스트림 스무디,93,0.0,,
스무디_그린티 그라니따 (R),78,1.84,,
스무디_그린티 밀크 쉐이크,74,1.25,,
스무디_그린티 블렌디모 아이스(ICED),97,1.93,,
스무디_그린티 스노우,97,1.41,,17.51
스무디_그린티 스무디,118,1.96,,
스무디_그린티 스무디 (L),75,1.36,,
스무디_그린티 스무디 (M),70,1.03,,
스무디_그린티 아이스샷,101,1.45,,
스무디_그린티 초코칩 탐앤치노,94,1.49,2.13,17.45
스무디_그린티 탐앤치노,87,0.98,2.2,15.85
스무디_그린티 프라노베,70,1.61,,
스무디_그린티 프라페,93,2.25,,
스무디_그린티 프라페,108,1.44,,
스무디_그린티 프라페 (Grande),86,1.25,,
스무디_그린티 프라페 (L),72,0.87,,
스무디_그린티 프라페 (Mini Venti),68,1.05,,
스무디_그린티 프라페 (R),56,0.75,,
스무디_그린티 프라페 (Tall),94,1.39,,
스무디_그린티 프라페 (Venti),67,0.97,,
스무디_그린티 할리치노,79,1.69,,
스무디_그린티프라페,88,1.15,3.15,16.31
스무디_글라디에이터 스트로베리 바나나 스무디 (L),68,6.43,,
스무디_글라디에이터 스트로베리 바나나 스무디 (R),68,6.55,,
스무디_글라디에이터 스트로베리 바나나 스무디 (S),69,6.5,,
스무디_글라디에이터 파인애플 망고 스무디 (L),82,5.75,,
스무디_글라디에이터 파인애플 망고 스무디 (R),82,5.71,,
스무디_글라디에이터 파인애플 망고 스무디 (S),82,5.93,,
스무디_깔라만시 프로스트 (L),91,1.17,,
스무디_깔라만시 프로스트 (R),79,1.06,,
스무디_꿀 애플망고 스무디 (L),79,0.19,,
스무디_꿀 애플망고 스무디 (R),79,0.19,,
스무디_꿀배 쿨러시,64,0.08,,
스무디_꿀복숭아 스무디 (R),71,0.13,0.0,
스무디_꿀복숭아 플랫치노,54,0.0,,
스무디_꿀수박 스무디 (R),57,0.54,0.01,
스무디_꿀호떡 in절미 프라페,91,1.46,,
스무디_납작 복숭아 그라니따,71,0.44,,
스무디_납작복숭아 블루밍 크러쉬,69,0.85,,
스무디_납작복숭아 타르트 크러쉬,109,0.85,,
스무디_낭만 달고나 카페프라페,125,1.25,,
스무디_낭만 달고나 프라페,125,1.25,,
스무디_넛츠 프라노베,88,1.39,,
스무디_녹차 루비치노,60,1.38,,
스무디_녹차 리터치노 아이스(ICED) (L),84,1.16,,14.9
스무디_녹차 리터치노 아이스(ICED) (ML),83,1.27,,14.93
스무디_녹차 바나치노,89,1.5,,16.33
스무디_녹차 빽스치노,77,1.41,,
스무디_녹차 빽스치노 소프트,106,1.83,,
스무디_녹차 프라페,99,0.86,2.64,17.9
스무디_녹차 프라페,71,1.55,1.74,12.3
스무디_꿀배 스무디,64,0.09,,
스무디_녹차 프로스트 (L),94,1.52,,
스무디_녹차 프로스트 (R),90,1.37,,
스무디_녹차 플랫치노,69,1.01,,
스무디_녹차바나치노,89,1.5,1.93,16.33
스무디_다크쇼콜라 프라노베,96,2.5,,
스무디_다크초코칩 할리치노,154,1.98,,
스무디_달고나 스무디 (XL),56,1.06,,
스무디_달고나 크런치 프라노베,79,1.0,,
스무디_달달녹차프라푸치노,87,1.38,,
스무디_더블 에스프레소 칩 프라푸치노 (Tall),75,1.13,,
스무디_더블 토피넛 위드샷 아이스(ICED),109,1.45,,
스무디_더블 토피넛 위드샷 핫(HOT),120,1.93,,
스무디_더블자바칩 프라페 (L),87,1.7,,11.5
스무디_더블자바칩 프라페 (ML),95,1.83,,12.25
스무디_더블초코 리터치노 아이스(ICED) (L),80,1.06,,13.0
스무디_더블초코 리터치노 아이스(ICED) (ML),68,0.99,,10.85
스무디_데일리오트바나나 프라페 (L),86,0.85,,
스무디_데일리오트바나나 프라페 (Max),77,0.85,,
스무디_데일리오트바나나 프라페 (R),75,0.72,,
스무디_돌체 크러쉬 위드 샷,105,0.63,,
스무디_디카페인 에스프레소 쉐이크,83,0.85,,
스무디_딥초콜릿 블렌디드,107,1.27,4.11,
스무디_딸기 그라니따,76,0.0,,
스무디_딸기 돼지쉑,87,1.25,,
